answer|groundtruth|id|trope|query|img_path|possible_answers|code|info|reason|compilation_error|runtime_error
NO EXECUTION|yes|tt0120586_0|Big Bad|"Is the trope ""Big Bad"", which means ""The character who is the direct cause of all of the bad happenings in a story."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query):
    # Trope: Big Bad
    # Definition: The character who is the direct cause of all of the bad happenings in a story.
    # Thought Process:
    # 1. Frame Selection: Analyze the video frames to identify the character responsible for the major negative events.
    # 2. Character Analysis: Identify the character's actions and their impact on the storyline.
    # 3. Answer Selection: Determine if the character fits the role of the ""Big Bad"" based on their influence on the narrative.

    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for character in frame.find(""person""):
            character_id = video_segment.face_identify(character)
            if character_id is None:
                continue
            character_action = character.simple_query(""What's he/she doing?"")
            if character_id not in info:
                info[character_id] = {}
            info[character_id].update({
                f""Action in {i} frame"": character_action
            })

    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_1|Jerkass|"Is the trope ""Jerkass"", which means ""A character who is so completely obnoxious that it is unbelievable anyone would willingly interact with them."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query)->[str, str, dict]:
    # Trope: Jerkass
    # Definition: A character who is so completely obnoxious that it is unbelievable anyone would willingly interact with them.
    # Thought Process:
    # 1. Frame Selection: Analyze each frame to identify the character's behavior and interactions with others.
    # 2. Character Analysis: Look for traits and actions that align with the definition of a Jerkass character.
    # 3. Answer Selection: Use the collected information to determine if the Jerkass trope is relevant to the movie.

    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for character in frame.find(""person""):
            character_id = video_segment.face_identify(character)
            if character_id is None:
                continue
            character_action = character.simple_query(""What's he/she doing?"")
            character_description = character.simple_query(""Describe the character in 10 words"")
            if character_id not in info:
                info[character_id] = {}
            info[character_id].update({
                f""Action in {i} frame"": character_action,
                f""Description in {i} frame"": character_description
            })

    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_2|Faux Affably Evil|"Is the trope ""Faux Affably Evil"", which means ""A villain whose politeness is an act that only serves to enhance their evil."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query)->[str, str, dict]:
    # Trope: Faux Affably Evil
    # Definition: A villain whose politeness is an act that only serves to enhance their evil.
    # Thought Process:
    # 1. Frame Selection: Analyze frames to identify the character exhibiting faux affable behavior.
    # 2. Character Analysis: Look for Andersonchao_111le cues in the character's actions and interactions that suggest their true nature.
    # 3. Answer Selection: Use the collected information to determine if the trope is relevant to the movie.

    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for character in frame.find(""person""):
            character_id = video_segment.face_identify(character)
            if character_id is None:
                continue
            character_action = character.simple_query(""What's he/she doing?"")
            character_emotion = character.simple_query(""What's his/her emotion?"")
            if character_id not in info:
                info[character_id] = {}
            info[character_id].update({
                f""Action in {i} frame"": character_action,
                f""Emotion in {i} frame"": character_emotion
            })

    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_3|Smug Snake|"Is the trope ""Smug Snake"", which means ""A type of character (usually a villain) who tends to treat friends and enemies alike with equal disdain."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query)->[str, str, dict]:
    # Trope: Smug Snake
    # Definition: A type of character (usually a villain) who tends to treat friends and enemies alike with equal disdain.
    # Thought Process:
    # 1. Frame Selection: Analyze the behavior of characters in the video to identify instances of disdainful treatment towards others.
    # 2. Character Analysis: Identify characters exhibiting traits of arrogance, condescension, or disrespect towards both friends and enemies.
    # 3. Answer Selection: Use the collected character behavior data to determine if the ""Smug Snake"" trope is relevant to the movie.
    video_segment = VideoSegment(video, annotation)
    # Initialize a dictionary to store information collected during analysis
    info = {
        ""character_behaviors"": {}
    }
    for i, frame in enumerate(video_segment.frame_iterator()):
        # identify person in frame
        for person in frame.find(""person""):
            person_id = video_segment.face_identify(person)
            if person_id is None:
                continue
            # get description of person
            person_description = person.simple_query(""What's his/her appearance characteristic? Describe in 10 words"")
            # track character behavior 
            person_behavior_in_frame = frame.simple_query(f""What's action of person with appearance '{person_description}'"")
            if person_id not in info[""character_behaviors""]:
                info[""character_behaviors""][person_id] = {}
            info[""character_behaviors""][person_id].update({
                f""action in {i} frame"": person_behavior_in_frame
            })
    # After collecting information, use it to determine the presence of the trope
    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_4|Abusive Parents|"Is the trope ""Abusive Parents"", which means ""This includes parents who are emotionally, verbally, physically, or mentally abusive, or who neglectfully allow their children to be abused 
by others if they don't abuse the child themselves"", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query):
    # Trope: Abusive Parents
    # Definition: This includes parents who are emotionally, verbally, physically, or mentally abusive, or who neglectfully allow their children to be abused by others if they don't abuse the child themselves.
    # Thought Process:
    # 1. Frame Selection: Analyze the frames to identify instances of parental behavior that align with the definition of abusive parents.
    # 2. Behavioral Analysis: Look for signs of emotional, verbal, physical, or mental abuse towards children or neglectful behavior that leads to harm.
    # 3. Answer Selection: Use the select_answer API to determine if the trope ""Abusive Parents"" is relevant to the movie based on the collected information.

    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for person in frame.find(""person""):
            person_id = video_segment.face_identify(person)
            if person_id is None:
                continue
            parent_behavior = person.simple_query(""What behavior does the parent exhibit?"")
            if ""abusive"" in parent_behavior.lower() or ""neglectful"" in parent_behavior.lower():
                info[f""Parental behavior in frame {i}""] = parent_behavior

    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_5|Would Hurt a Child|"Is the trope ""Would Hurt a Child"", which means ""People that do hurt children, sometimes even kill them."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query)->[str, str, dict]:
    # Trope: Would Hurt a Child
    # Definition: People that do hurt children, sometimes even kill them.
    # Thought Process:
    # 1. Frame Selection: Analyze frames to identify any instances where children are in danger or harmed.
    # 2. Character Analysis: Identify characters involved in these situations and their actions towards children.
    # 3. Answer Selection: Determine if the trope ""Would Hurt a Child"" is relevant based on the collected information.
    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for child in frame.find(""child""):
            child_id = video_segment.face_identify(child)
            if child_id is None:
                continue
            child_action = child.simple_query(""What's happening to the child?"")
            if child_id not in info:
                info[child_id] = {}
            info[child_id].update({
                f""Action in {i} frame"": child_action
            })
    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_6|Action Girl|"Is the trope ""Action Girl"", which means ""An Action Girl is a female badass who is tough and kicks butt."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query)->[str, str, dict]:
    # Trope: Action Girl
    # Definition: An Action Girl is a female character who is tough, kicks butt, and is generally portrayed as a badass.
    # Thought Process:
    # 1. Frame Selection: Identify frames where female characters are engaged in action sequences or demonstrating physical prowess.
    # 2. Character Analysis: Analyze the behavior, actions, and characteristics of female characters to determine if they fit the ""Action Girl"" trope.
    # 3. Answer Selection: Use the collected information to decide if the trope is relevant to the movie.

    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for female_character in frame.find(""female character""):
            character_id = video_segment.face_identify(female_character)
            if character_id is None:
                continue
            character_action = female_character.simple_query(""What actions is she performing?"")
            if character_id not in info:
                info[character_id] = {}
            info[character_id].update({
                f""Action in {i} frame"": character_action
            })

    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_7|Reasonable Authority Figure|"Is the trope ""Reasonable Authority Figure"", which means ""Authirity that is open to heros' inasane ideas.  Often, they'll ask for proof and facts rather than follow baseless accusations, but even then, 
they'll usually humor the heroes and go check out their theories."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query):
    # Trope: Reasonable Authority Figure
    # Definition: An authority figure who is open to the ideas of the protagonists, often asking for proof and facts rather than dismissing baseless accusations. They are willing to investigate the heroes' theories.
    # Thought Process:
    # 1. Frame Selection: Analyze the frames to identify the authority figures and their interactions with the protagonists.
    # 2. Character Analysis: Look for signs of openness, willingness to listen, and rational decision-making in the authority figures.
    # 3. Answer Selection: Use the collected information to determine if the trope is relevant to the movie.

    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for character in frame.find(""person""):
            if ""authority"" in character.simple_query(""What role does this character play?"").lower():
                character_behavior = character.simple_query(""How does the character interact with the protagonists?"")
                info[f""Authority Figure in {i} th frame""] = character_behavior

    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_8|Papa Wolf|"Is the trope ""Papa Wolf"", which means ""Paternal instinct can transform a Bumbling Dad into an Action Dad. If someone threatens his kids they will soon wish 
they'd never come within a mile of them."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query)->[str, str, dict]:
    # Trope: Papa Wolf
    # Definition: Paternal instinct can transform a Bumbling Dad into an Action Dad. If someone threatens his kids they will soon wish they'd never come within a mile of them.
    # Thought Process:
    # 1. Frame Selection: Analyze frames to identify instances where a paternal figure exhibits protective behavior towards their children.
    # 2. Character Analysis: Identify the characters involved and their actions towards protecting their children.
    # 3. Trope Relevance: Determine if the actions of the paternal figure align with the characteristics of a ""Papa Wolf"".
    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for person in frame.find(""person""):
            person_id = video_segment.face_identify(person)
            if person_id is None:
                continue
            person_action = person.simple_query(""What's he/she doing?"")
            if person_id not in info:
                info[person_id] = {}
            info[person_id].update({
                f""Action in {i} frame"": person_action
            })
    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
NO EXECUTION|yes|tt0120586_9|Deadpan Snarker|"Is the trope ""Deadpan Snarker"", which means ""A character prone to gnomic, sarcastic, sometimes bitter, occasionally whimsical asides."", relevant to the movie?"|/project/mira/dataset/MovieNet/videos/tt0120586.mp4|['yes', 'no']|"```python
def execute_command(video, annotation, possible_answers, query):
    # Trope: Deadpan Snarker
    # Definition: A character prone to gnomic, sarcastic, sometimes bitter, occasionally whimsical asides.
    # Thought Process:
    # 1. Frame Selection: Analyze the frames to identify characters exhibiting sarcastic or witty behavior.
    # 2. Character Analysis: Identify characters and their dialogues/actions to determine if they fit the trope.
    # 3. Answer Selection: Use the collected information to decide if the trope is relevant to the movie.

    video_segment = VideoSegment(video, annotation)
    info = {}
    for i, frame in enumerate(video_segment.frame_iterator()):
        for character in frame.find(""person""):
            character_id = video_segment.face_identify(character)
            if character_id is None:
                continue
            character_dialogue = character.simple_query(""What's his/her dialogue?"")
            character_behavior = character.simple_query(""What's his/her behavior?"")
            if character_id not in info:
                info[character_id] = {}
            info[character_id].update({
                f""Dialogue in {i} frame"": character_dialogue,
                f""Behavior in {i} frame"": character_behavior
            })

    answer, reason = video_segment.select_answer(info, query, possible_answers)
    return answer, reason, info
```"|{}|NO EXECUTION|NO EXECUTION|NO EXECUTION
